date,total_volume,total_pnl,trade_count,timestamp,value,sentiment
2023-03-28,477.0,0.0,3,1679981400,59,Greed
2023-11-14,11555429.76,155.50335699999994,1045,1699939800,69,Greed
2024-03-09,39406770.25,176965.491774,6962,1709962200,84,Extreme Greed
2024-07-03,21843234.35,158742.378078,7141,1719984600,50,Neutral
2024-10-27,103947765.09,3189461.032019,35241,1730007000,74,Greed
2025-02-19,704158492.98,6699925.190574,133871,1739943000,44,Fear
